"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL.p",0.104178482661325,0.0344447853059084,0.0355252455203511,0.0814588150087636,0.10420310055014,0.126690593120553,0.171681860062504,1.00292721372488,790
"deviance",5733.59492097221,37.3523709924259,5659.54881525822,5708.49979357959,5733.82385712879,5759.35337820578,5805.73933800729,1.09127832982527,28
"fit",5792.95515002387,1804.44028663886,4276.94922191784,4649.33802453178,5013.83484593711,6350.98807390133,11048.7931738573,1.7121742509151,6
"fit.new",5791.96033527112,1806.87000927378,4255.77970119068,4647.03178436748,5019.06421174607,6350.66376309822,11049.4802319846,1.70965031411751,6
"mu.lp",-4.11468991665095,1.23035754804165,-6.55835446217804,-4.92644323503344,-4.08290960493617,-3.21038280768616,-1.93684182850139,1.40845145965884,9
"pdet.alpha[1]",0.011271481101722,0.0433028854017211,9.50770737410168e-07,6.07966238465498e-05,0.000400270676106579,0.00270153893323967,0.122143195410429,1.46939477040684,8
"pdet.alpha[2]",0.0238810464031332,0.0787010142587388,7.56522570233862e-05,0.000549654097862291,0.0019377501106614,0.0100925280345785,0.197892401340788,1.62523306034142,7
"pdet.alpha[3]",0.00998874867387144,0.0396791084828557,6.08997343642889e-07,3.89772011121047e-05,0.00031559766605649,0.00279706023552255,0.10219165506396,1.826251432634,6
"pdet.alpha[4]",0.00998897232684218,0.0408590524766878,1.28815942314237e-06,8.82173642230404e-05,0.000539626973603205,0.00306753582793934,0.106694068793129,1.42384328063662,8
"pdet.alpha[5]",0.0111976984258865,0.0479558144346566,6.86547277952548e-07,3.18179806300774e-05,0.000242881970081471,0.00245323021950471,0.116935085416793,1.86157566636599,5
"pdet.alpha[6]",0.126028793396813,0.161751237284244,0.00278832148312389,0.0160645591250474,0.0510305017371874,0.180136301462259,0.587506201440758,1.3405064376596,10
"pdet.alpha[7]",0.0314066087197843,0.0223276579951319,0.00437912093107798,0.0145912398208731,0.026813712305525,0.0433773235327409,0.0850346969189275,1.05734811259223,40
"pdet.alpha[8]",0.114260885587064,0.0194761140777962,0.0783283486132104,0.100799402683346,0.113303867791923,0.126797744686306,0.15576987585641,1.00389987747712,570
"pdet.alpha[9]",0.245810894457699,0.0325025211953142,0.187071121786694,0.22306753675668,0.244265259024906,0.267758690833388,0.311203753295237,1.00080305984283,2500
"pdet.alpha[10]",0.0749810704487228,0.00717443609434714,0.0617730724251104,0.0701168343437237,0.0745746316646773,0.0795756589698615,0.090541973473527,1.00044680240228,2500
"pdet.alpha[11]",0.179832458518442,0.0139698297510206,0.152876454139345,0.170280751536834,0.179250724345624,0.188957956485917,0.207798780491395,1.00688509891637,340
"pdet.alpha[12]",0.0329869987692838,0.0038900445429029,0.0257681191025472,0.0302881041354136,0.0327802571831425,0.0355795021354171,0.0409696817455231,1.00244356484437,980
"pdet.alpha[13]",0.258999171921963,0.0214682129022749,0.220440200677565,0.244121598966097,0.257809707949517,0.273350917527189,0.302616813125257,1.00200010525854,1300
"pdet.alpha[14]",0.101765390976533,0.0307650687237813,0.0508538782820232,0.0797373721517831,0.0978096342078957,0.119475191945736,0.171325574960762,1.00326493434511,730
"psi.fs[1]",0.157155424672829,0.202553526763766,0.00299222022740874,0.0221424296828247,0.0598444045481747,0.186714542190305,0.631044284859366,1.92588412502617,6
"psi.fs[2]",0.14890660780771,0.165835446130535,0.00359066427289048,0.0251346499102334,0.0724117295032915,0.216336900500952,0.554159186116098,1.84839558450619,6
"psi.fs[3]",0.281543526399706,0.364590889821041,0.00299222022740874,0.0227408737283064,0.0604428485936565,0.578396169958109,0.973668461998803,4.02052766932519,3
"psi.fs[4]",0.0734356859216397,0.0752083794796952,0.00299222022740874,0.0239377618192699,0.0478755236385398,0.0915619389587074,0.296484141232795,1.65098578430454,7
"psi.fs[5]",0.315612501022521,0.381348767522745,0.00239377618192699,0.0227408737283064,0.0706163973668462,0.746259724715739,0.968282465589467,8.54037259894418,3
"psi.fs[6]",0.0312044798631472,0.0284322040506547,0.00478755236385398,0.0131657690005984,0.0236366459103908,0.0371035308198683,0.121452748827198,1.5794365493615,7
"psi.fs[7]",0.0586494299473647,0.0439869732716222,0.0125673249551167,0.0293237582286056,0.0436864153201676,0.0766008378216637,0.175313164496371,1.10307447240132,25
"psi.fs[8]",0.0689483123256033,0.013658711320579,0.0460801915020946,0.0586475164572112,0.0676241771394375,0.0777977259126272,0.0987432675044883,1.00744147770828,290
"psi.fs[9]",0.0745818665235376,0.0129263970848932,0.0517795083034636,0.0652304009575105,0.0742070616397367,0.0831837223219629,0.101137043686415,1.01292253223229,160
"psi.fs[10]",0.428660303355161,0.0351084978433365,0.363255535607421,0.404548174745661,0.428485936564931,0.451226810293238,0.49938650543726,1.00318508143869,2000
"psi.fs[11]",0.620730943671155,0.0368063259860618,0.550568521843208,0.59605026929982,0.61998803111909,0.645122681029324,0.692085512978004,1.00061463421625,2500
"psi.fs[12]",0.872553423449152,0.0584511163678438,0.746858168761221,0.835427887492519,0.876122082585278,0.916816277678037,0.969165124481771,1.05999560883074,44
"psi.fs[13]",0.652095678334651,0.0499495534201066,0.555356074207062,0.618192698982645,0.652603163000404,0.685218432076601,0.748937702196419,1.00814046369987,280
"psi.fs[14]",0.709743396186701,0.127789980958333,0.460517557128181,0.622980251346499,0.709455352818224,0.807899461400359,0.936849144436472,1.01166230489194,230
"regres.pdet",0.0130103874800961,0.00407515509407809,0.000883151386921138,0.0124955977630338,0.0140146210254452,0.0151342266258465,0.0172803207901889,1.58468974764934,8
