"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",8808.84648995805,80.4325900186145,8658.46206330919,8752.93065094434,8807.18839861266,8863.34459156488,8973.2341840751,1.52831482818389,7
"dtype2.p",-0.0853399950435146,0.0703655454133954,-0.222463640725501,-0.131981412785707,-0.0880644427144623,-0.0387691180416959,0.0542855690004117,1.00302331208952,760
"dtype3.p",-0.324759741092902,0.0662085003415781,-0.453600952699459,-0.369076287942488,-0.326292890657233,-0.27879943399487,-0.191701995430692,1.0020977880943,1200
"fit",17692.6600618658,5886.54696556991,8587.41320714726,11057.0800078588,19103.4935193289,22255.3536496538,27275.0605905892,4.70677636877946,3
"fit.new",17691.029515239,5887.55139127363,8568.20461514034,11058.8314428234,19104.0916980963,22241.9545090446,27290.567119065,4.70675076449931,3
"mu.lp",-1.02720107146137,1.49402038069771,-4.37999999819367,-2.23571533693038,-0.387570075571714,0.000504441363668088,0.734449220240129,3.50461116112241,4
"pdet.alpha[1]",0.347772033404112,0.309367892034257,0.000157931755818829,0.00192416927605959,0.341006842449454,0.605772798906952,0.920982822884909,5.65479841607848,3
"pdet.alpha[2]",0.377026558710724,0.324494735737798,0.00017883633002805,0.000962349668982327,0.397251379144232,0.66293971504288,0.935932254319636,9.55090601945878,3
"pdet.alpha[3]",0.34821283691622,0.310463119211699,6.54137642047693e-05,0.000733205216863519,0.344731617584266,0.607668555330539,0.917252777189529,7.0932831593304,3
"pdet.alpha[4]",0.270395721071793,0.276123404831405,5.05615536302352e-06,0.00080221760266751,0.206796070709387,0.472827392022829,0.878896089082128,4.35563170055515,3
"pdet.alpha[5]",0.343997672665,0.314144653709701,9.071188231737e-05,0.000999009096524678,0.324166845204095,0.613024103615653,0.92526719329656,7.01123953590008,3
"pdet.alpha[6]",0.661124673621631,0.195478000469714,0.217238530521177,0.541609360705882,0.68275885195158,0.813159784494812,0.957351931937347,1.09018852419779,220
