"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"LL.p",0.0356915171089541,0.0569688810769833,-0.0791375554047098,-0.00245974687325654,0.0358331791473044,0.0750928097639298,0.143587941453359,1.00265281273854,1400
"deviance",3862.47916641949,30.2105882611703,3803.57619813932,3841.54128273365,3862.76380591281,3882.07457387292,3921.15109159647,1.05907383378653,39
"fit",3609.1911031227,1032.03100624864,2689.25640995479,2891.75254714285,3157.01948293806,4088.66567529752,6479.29751479749,1.69606464020579,6
"fit.new",3607.08239939027,1033.28869801053,2677.04059986169,2892.54605396404,3156.66605061136,4083.68275617482,6495.29518118669,1.69362409589457,7
"mu.lp",-3.27736784243621,1.46695603609084,-6.18382079484101,-4.29669255603566,-3.32767216147838,-2.15836995992837,-0.743462173215125,1.50518342984026,8
"pdet.alpha[1]",0.0448898659526033,0.123295010394304,2.54386457415606e-06,0.000200330571836397,0.0013978169564618,0.0130914512441612,0.450650866384543,1.49510307908118,8
"pdet.alpha[2]",0.0386927322652357,0.114856654016124,7.1667940969925e-07,8.89348129252568e-05,0.000574823983743389,0.00605069912360104,0.41439867312655,1.76812419554078,6
"pdet.alpha[3]",0.0405414537537308,0.110010876414607,1.9011768268081e-06,0.000184101787797798,0.00123458865831355,0.00984768199839865,0.414089769919348,1.52516664880497,7
"pdet.alpha[4]",0.0370193740740104,0.115541762989205,9.22148328518595e-07,6.57553245855899e-05,0.000383904397841325,0.00340391962927338,0.398149755914516,1.89208904764512,5
"pdet.alpha[5]",0.043562537418912,0.118594340989473,1.23909767673165e-06,0.000145654840603306,0.00104332936893892,0.0114615078758476,0.445767065290867,1.42034872018119,9
"pdet.alpha[6]",0.256317730632289,0.29972447930823,0.00166195920593482,0.0203527899342464,0.118020595176998,0.407873283088679,0.971747643711465,1.30441756831035,11
"pdet.alpha[7]",0.111730774540213,0.104623756381294,0.00623562259073002,0.026591479866143,0.0771347953715219,0.17235432946977,0.375650190179266,1.26744695016075,12
"pdet.alpha[8]",0.265790559198589,0.0414216494734043,0.188804737168678,0.237132754084607,0.264997329874355,0.2932370568571,0.348512641776937,1.00080310432011,2500
"pdet.alpha[9]",0.501402997816613,0.0525199871281391,0.39634348069035,0.466769478665767,0.500681276734358,0.537328559960712,0.603165763052236,1.00039882866663,2500
"pdet.alpha[10]",0.159681894272096,0.0135552135798987,0.13419216137162,0.150101049159149,0.159212668882685,0.168804663548014,0.187203922940218,1.0008337548701,2500
"pdet.alpha[11]",0.355931131391591,0.022484485780052,0.311303325963328,0.340729546840758,0.35506596320459,0.37162810194935,0.3999819516048,1.00118871281798,2500
"pdet.alpha[12]",0.0839648297643597,0.00940775757913796,0.0665968054069753,0.0775129078969646,0.0834677308054013,0.089873424284696,0.103511041509308,1.00197373000104,1300
"pdet.alpha[13]",0.434834236277896,0.0280516504236322,0.380056218679573,0.415594470083686,0.434527115654585,0.454380708895229,0.487551963446019,1.00365856762439,620
"pdet.alpha[14]",0.263053760603886,0.123586405055947,0.0734810915137119,0.166957599908836,0.247674049738312,0.339015624922016,0.533015889746658,1.00253490650067,2500
"psi.fs[1]",0.144799972939243,0.171380547580055,0.00111358574610245,0.0200445434298441,0.0723830734966592,0.196826280623608,0.599638084632517,1.25499354406755,12
"psi.fs[2]",0.342597636812599,0.351479080407773,0.00111358574610245,0.0256124721603563,0.183741648106904,0.724665924276169,0.966592427616927,3.65917729494127,4
"psi.fs[3]",0.0924084785623617,0.0894476056937535,0.00111358574610245,0.0192093541202673,0.0579064587973274,0.149220489977728,0.315144766146993,1.46409250000991,8
"psi.fs[4]",0.520642283500594,0.389465278359091,0.00111358574610245,0.0456570155902004,0.690423162583519,0.894209354120267,0.974916481069042,3.10336339995684,4
"psi.fs[5]",0.194817420006089,0.232274181663528,0.00111358574610245,0.0200445434298441,0.0879732739420935,0.31152561247216,0.807238307349666,1.18786301204661,19
"psi.fs[6]",0.0760598648030351,0.125058630873365,0.0044543429844098,0.0133630289532294,0.0256124721603564,0.0623608017817372,0.479955456570156,1.51385315495461,8
"psi.fs[7]",0.144718078543846,0.141952474974374,0.0189309576837417,0.0456570155902004,0.0868596881959911,0.195712099729554,0.551753617332305,1.3445854677473,10
"psi.fs[8]",0.125698995369406,0.0255988550795583,0.0801781737193764,0.106904231625835,0.123608017817372,0.141425389755011,0.180400890868597,1.00369137255801,650
"psi.fs[9]",0.113245261252023,0.0210318160722611,0.0757238307349666,0.0979955456570156,0.111358574610245,0.126948775055679,0.158129175946548,1.00720935974393,300
"psi.fs[10]",0.440726260862134,0.0368218928921136,0.369710467706013,0.415367483296214,0.439866369710468,0.466592427616926,0.513363028953229,1.00738358082503,290
"psi.fs[11]",0.636221980099662,0.0381386971315794,0.561247216035635,0.610244988864143,0.635857461024499,0.661469933184855,0.709882855695202,1.00910478458329,230
"psi.fs[12]",0.906019950186844,0.0527825772539956,0.786775972730174,0.871102316486012,0.913140311804009,0.946547884187082,0.988864142538975,1.01318753176655,1400
"psi.fs[13]",0.720991580900091,0.0591858935719972,0.607488609601067,0.680400890868597,0.721603563474387,0.761414101137627,0.839058835772875,1.02636404860897,82
"psi.fs[14]",0.577714220605698,0.183685777339623,0.229982623787514,0.444320712694877,0.572383073496659,0.702394043751456,0.948190260098725,1.00317927739443,2500
"regres.pdet",0.0248061367701141,0.0104145247683313,-0.00500260870704876,0.0229870867976939,0.0273854180363015,0.0309292063660501,0.0376506846391625,1.67281096785961,7
