FullName,F_Name,Sort_Family,Popular_group_Name
DUFOUREA minuta,Halictidae,31,Bee
HALICTUS confusus,Halictidae,31,Bee
HALICTUS eurygnathus,Halictidae,31,Bee
HALICTUS maculatus,Halictidae,31,Bee
HALICTUS quadricinctus,Halictidae,31,Bee
HALICTUS rubicundus,Halictidae,31,Bee
HALICTUS scabiosae,Halictidae,31,Bee
HALICTUS subauratus,Halictidae,31,Bee
HALICTUS tumulorum,Halictidae,31,Bee
LASIOGLOSSUM albipes,Halictidae,31,Bee
LASIOGLOSSUM angusticeps,Halictidae,31,Bee
LASIOGLOSSUM brevicorne,Halictidae,31,Bee
LASIOGLOSSUM calceatum,Halictidae,31,Bee
LASIOGLOSSUM cupromicans,Halictidae,31,Bee
LASIOGLOSSUM fratellum,Halictidae,31,Bee
LASIOGLOSSUM fulvicorne,Halictidae,31,Bee
LASIOGLOSSUM laeve,Halictidae,31,Bee
LASIOGLOSSUM laevigatum,Halictidae,31,Bee
LASIOGLOSSUM laticeps,Halictidae,31,Bee
LASIOGLOSSUM lativentre,Halictidae,31,Bee
LASIOGLOSSUM leucopus,Halictidae,31,Bee
LASIOGLOSSUM leucozonium,Halictidae,31,Bee
LASIOGLOSSUM limbellum,Halictidae,31,Bee
LASIOGLOSSUM malachurum,Halictidae,31,Bee
LASIOGLOSSUM minutissimum,Halictidae,31,Bee
LASIOGLOSSUM morio,Halictidae,31,Bee
LASIOGLOSSUM nitidiusculum,Halictidae,31,Bee
LASIOGLOSSUM parvulum,Halictidae,31,Bee
LASIOGLOSSUM pauperatum,Halictidae,31,Bee
LASIOGLOSSUM pauxillum,Halictidae,31,Bee
LASIOGLOSSUM prasinum,Halictidae,31,Bee
LASIOGLOSSUM punctatissimum,Halictidae,31,Bee
LASIOGLOSSUM puncticolle,Halictidae,31,Bee
LASIOGLOSSUM quadrinotatum,Halictidae,31,Bee
LASIOGLOSSUM rufitarse,Halictidae,31,Bee
LASIOGLOSSUM semilucens,Halictidae,31,Bee
LASIOGLOSSUM sexnotatum,Halictidae,31,Bee
LASIOGLOSSUM sexstrigatum,Halictidae,31,Bee
LASIOGLOSSUM smeathmanellum,Halictidae,31,Bee
LASIOGLOSSUM villosulum,Halictidae,31,Bee
LASIOGLOSSUM xanthopus,Halictidae,31,Bee
LASIOGLOSSUM zonulum,Halictidae,31,Bee
ROPHITES quinquespinosus,Halictidae,31,Bee
SPHECODES crassus,Halictidae,31,Bee
SPHECODES ephippius,Halictidae,31,Bee
SPHECODES ferruginatus,Halictidae,31,Bee
SPHECODES geoffrellus,Halictidae,31,Bee
SPHECODES gibbus,Halictidae,31,Bee
SPHECODES hyalinatus,Halictidae,31,Bee
SPHECODES longulus,Halictidae,31,Bee
SPHECODES marginatus,Halictidae,31,Bee
SPHECODES miniatus,Halictidae,31,Bee
SPHECODES monilicornis,Halictidae,31,Bee
SPHECODES niger,Halictidae,31,Bee
SPHECODES pellucidus,Halictidae,31,Bee
SPHECODES puncticeps,Halictidae,31,Bee
SPHECODES reticulatus,Halictidae,31,Bee
SPHECODES rubicundus,Halictidae,31,Bee
SPHECODES scabricollis,Halictidae,31,Bee
SPHECODES spinulosus,Halictidae,31,Bee
ANTHIDIUM manicatum,Megachilidae,33,Bee
CHELOSTOMA campanularum,Megachilidae,33,Bee
CHELOSTOMA florisomne,Megachilidae,33,Bee
COELIOXYS afra,Megachilidae,33,Bee
COELIOXYS brevis,Megachilidae,33,Bee
COELIOXYS conoidea,Megachilidae,33,Bee
COELIOXYS elongata,Megachilidae,33,Bee
COELIOXYS inermis,Megachilidae,33,Bee
COELIOXYS mandibularis,Megachilidae,33,Bee
COELIOXYS quadridentata,Megachilidae,33,Bee
COELIOXYS rufescens,Megachilidae,33,Bee
HERIADES rubicola,Megachilidae,33,Bee
HERIADES truncorum,Megachilidae,33,Bee
HOPLITIS claviventris,Megachilidae,33,Bee
HOPLITIS leucomelana,Megachilidae,33,Bee
MEGACHILE centuncularis,Megachilidae,33,Bee
MEGACHILE circumcincta,Megachilidae,33,Bee
MEGACHILE ericetorum,Megachilidae,33,Bee
MEGACHILE lapponica,Megachilidae,33,Bee
MEGACHILE leachella,Megachilidae,33,Bee
MEGACHILE ligniseca,Megachilidae,33,Bee
MEGACHILE maritima,Megachilidae,33,Bee
MEGACHILE versicolor,Megachilidae,33,Bee
MEGACHILE willughbiella,Megachilidae,33,Bee
OSMIA aurulenta,Megachilidae,33,Bee
OSMIA bicolor,Megachilidae,33,Bee
OSMIA bicornis,Megachilidae,33,Bee
OSMIA caerulescens,Megachilidae,33,Bee
OSMIA inermis,Megachilidae,33,Bee
OSMIA leaiana,Megachilidae,33,Bee
OSMIA niveata,Megachilidae,33,Bee
OSMIA parietina,Megachilidae,33,Bee
OSMIA pilicornis,Megachilidae,33,Bee
OSMIA spinulosa,Megachilidae,33,Bee
OSMIA uncinata,Megachilidae,33,Bee
OSMIA xanthomelana,Megachilidae,33,Bee
STELIS breviuscula,Megachilidae,33,Bee
STELIS ornatula,Megachilidae,33,Bee
STELIS phaeoptera,Megachilidae,33,Bee
STELIS punctulatissima,Megachilidae,33,Bee
DASYPODA hirtipes,Melittidae,35,Bee
MACROPIS europaea,Melittidae,35,Bee
MELITTA dimidiata,Melittidae,35,Bee
MELITTA haemorrhoidalis,Melittidae,35,Bee
MELITTA leporina,Melittidae,35,Bee
MELITTA tricincta,Melittidae,35,Bee
